;SiteName;Long10;Lat10;Altitude;Domain;vegetation_type;TempAnn;TempDayRng;Isotherm;TempSeas;TempMax;TempMin;TempAnnRng;PrecAnn;PrecWetP;PrecDryP;PrecSeas;WaterDefDur;WaterDefSev;DaysFrost;CloudItcp;Rockiness;Sandiness;SoilDrain;SoilWaterStorage;SoilFert;Salinity
AtlMG061;Piranga, floresta semidecídua;-433.719;-206.286;777;Atlantic Forest;semideciduous_forest;20.2;11.5;62;222;28.5;10;18.5;1303;245;13;83;120;74;0;0;5;65;35;50;17;0
AtlMG064;Serra do Caraça, Santuário, floresta nebular;-434.811;-200.925;1419;Atlantic Forest;montane_evergreen;16.7;11.3;66;190;24.5;7.3;17.2;1640;334;16;82;65;18;4;133;20;65;35;46;17;0
AtlMG066;Ouro Preto, Itacolomi, floresta nebular;-435.006;-204.336;1402;Atlantic Forest;montane_evergreen;17;11.2;65;194;24.7;7.5;17.2;1638;332;17;82;60;13;4;144;20;65;35;46;17;0
AtlMG069;Parque do Rio Preto, nanofloresta nebular;-433.342;-182.314;1541;Atlantic Forest;cloud_forest;17.1;10.4;62;177;25.6;8.9;16.7;1557;323;18;79;75;24;1;150;80;65;20;24;17;0
AtlMG070;Serra do Caraça, Carapuça, nanofloresta nebular;-434.575;-200.792;1577;Atlantic Forest;cloud_forest;16.2;11.5;64;206;24.1;6.2;17.9;1510;303;17;80;75;16;7;149;80;65;20;24;17;0
AtlMG071;Pico do Itacolomi, nanofloresta nebular;-434.725;-204.325;1626;Atlantic Forest;cloud_forest;15.6;11.1;65;199;23.3;6.1;17.2;1685;338;19;82;75;14;8;171;80;65;20;24;17;0
AtlMG074;Grão Mogol, nanofloresta rupícola;-429.186;-165.469;1068;Atlantic Forest;montane_evergreen;19.8;12.4;70;175;28;10.4;17.6;995;221;5;96;150;126;0;66;80;85;20;19;5;0
AtlMG075;Itacambira, nanofloresta rupícola;-433.639;-169.389;1125;Atlantic Forest;montane_evergreen;19.8;12;71;164;27.7;10.8;16.9;1106;239;5;94;145;121;0;78;80;85;20;19;5;0
AtlMG076;Serra do Cabral, nanofloresta rupícola;-442.278;-177.608;1087;Atlantic Forest;montane_evergreen;20.1;12;68;175;28;10.3;17.7;1321;314;3;93;135;104;0;90;80;65;20;24;17;0
AtlMG077;Serra do Ambrósio, nanofloresta rupícola;-431.033;-181.025;1209;Atlantic Forest;montane_evergreen;19.1;11.3;65;191;27.3;9.8;17.5;1345;293;10;89;125;78;0;102;80;85;20;19;5;0
AtlMG078;Diamantina, nanofloresta rupícola;-435.969;-182.575;1116;Atlantic Forest;montane_evergreen;19.4;10.7;62;182;28.1;10.8;17.3;1437;333;8;91;120;82;0;100;80;85;20;19;5;0
AtlMG079;Conselheiro Mata, nanofloresta rupícola;-439.961;-183.197;1020;Atlantic Forest;montane_evergreen;20.3;12.2;66;198;28.5;10;18.5;1295;292;5;93;135;107;0;83;80;85;20;19;5;0
AtlMG080;Pico do Itambé, nanofloresta rupícola;-433.625;-184.319;1335;Atlantic Forest;montane_evergreen;18.6;10.9;63;185;27.2;9.8;17.4;1493;334;11;88;115;66;0;125;80;85;20;19;5;0
AtlMG081;Gouveia a Datas, nanofloresta rupícola;-43.695;-184.375;1267;Atlantic Forest;montane_evergreen;18.7;10.8;62;181;27.4;10;17.4;1434;331;8;90;115;76;0;114;80;85;20;19;5;0
AtlMG082;Conceição do Mato Dentro, nanofloresta rupícola;-436.864;-189.289;1295;Atlantic Forest;montane_evergreen;18.3;11.4;64;184;26.7;8.9;17.8;1537;314;10;86;115;67;1;124;80;85;20;19;5;0
AtlMG083;Serra do Cipó, Lapinha, nanofloresta rupícola;-436.514;-191.606;1113;Atlantic Forest;montane_evergreen;19.1;11.6;65;186;27.4;9.5;17.9;1558;309;10;86;115;74;0;108;80;65;20;24;17;0
AtlMG084;Serra do Cipó, Juquinha, nanofloresta rupícola;-435.467;-192.614;1291;Atlantic Forest;montane_evergreen;18.6;11.6;65;189;26.8;9;17.8;1579;314;10;85;115;68;1;127;80;65;20;24;17;0
AtlMG085;Pico do Itabiruçu, nanofloresta rupícola;-433.078;-196.439;1133;Atlantic Forest;montane_evergreen;18.7;11.4;64;209;26.7;8.8;17.9;1568;349;10;88;110;65;1;111;80;85;20;19;5;0
AtlMG086;Serra da Piedade, Santuário, nanofloresta rupícola;-436.778;-198.156;1381;Atlantic Forest;montane_evergreen;17.6;11.5;66;189;25.4;8;17.4;1575;334;11;88;110;55;3;136;80;85;20;19;5;0
